Date,Min Temperature (°C),Avg Temperature (°C),Max Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),Pressure (hPa)
2010-01-01,15.034077982213518,17.417762436055785,20.507100320455855,47.13441922426305,9.151134126484122,4.519242561460457,1006.5775418827621
2010-01-02,13.289566558921953,16.11220231554175,21.087744613131147,43.88643573695763,3.6013050621339335,14.165653324120338,1018.8285185053983
2010-01-03,18.96479303993136,22.815471662421935,26.204497695035343,42.912325198394576,7.993530246376007,12.424713316308765,1012.1880303037018
2010-01-04,13.57450864349,16.728000286420713,19.51389135952363,48.94784832776742,9.808104045293458,11.372059265389884,1007.5393619462586
2010-01-05,11.509853516475415,15.30394658710597,17.415187410487523,48.7867056876285,8.049578062461453,3.3474983665301936,1015.0954259210145
2010-01-06,20.235473394365812,24.695714971647174,27.423596982955235,47.81147352585608,7.374750360726116,4.103092342861268,1011.5969371952071
2010-01-07,14.114532304259214,16.233604881588924,21.022176807295914,53.03004658722746,0.0,8.646200893506384,1007.9876234893608
2010-01-08,13.25483575232813,17.34581796912228,22.2905887143186,59.778661242698334,0.0,4.699013547095083,1013.8328311677085
2010-01-09,17.57696579941824,21.172496710846076,24.651186130707504,39.771575921768346,0.0,10.402447552821322,1010.8896292184121
2010-01-10,12.928616892010542,16.964291683460583,19.96315629512424,56.09498928196233,0.4921083122940415,11.204821027400353,1019.9722499533401
2010-01-11,15.330023879177535,18.26418727973745,21.14136303121168,56.44017557765608,6.55651108926936,10.805719144742692,1008.6253346640156
2010-01-12,15.443417879296565,19.002065044901887,22.824524789415165,57.02345269380415,4.835414308159082,9.232941946511536,1015.5980464885675
2010-01-13,22.525176711713222,24.994155612891824,29.282819881969615,61.1953820955953,7.518111980590974,9.208500944639699,1019.7440477711162
2010-01-14,17.325959431227076,21.5329465470651,26.3320471164375,47.73378879819658,7.045107834657834,8.916232817298305,1017.1469390809357
2010-01-15,15.844066175367836,19.952161552037026,24.375232698647192,46.816037223437114,2.6987319842970754,12.929645368939077,1017.6978100301806
2010-01-16,17.979263469604362,20.16317108384032,24.8187105848126,39.683196650482564,6.361186546142176,3.6634868178037,1009.402479934898
2010-01-17,12.843823872153035,15.919492256988589,18.343170465572843,42.54192068168981,0.0,14.155992977348234,1018.5522961236679
2010-01-18,15.95826342411291,18.972525054095133,23.864923760562952,38.472088218754244,10.954851092864942,13.717102872622206,1011.2565402657888
2010-01-19,20.593299070777263,24.200192445531737,27.47743696379375,54.924231658307804,6.182346824182928,9.036295669577257,1005.5901500897207
2010-01-20,19.360035332003555,22.097426722454745,24.404035910749133,53.08312657178745,6.05831201335113,4.537856856989326,1008.9226556088904
2010-01-21,12.747842274603123,17.463667723085273,21.479071858212762,43.36747041391122,0.0,11.199655220614408,1008.8233991455586
2010-01-22,11.954186411879139,15.774867421615612,20.486809353396737,49.34946298824327,5.723244975961484,9.331767336353643,1006.305694183627
