Min Temperature (°C),Max Temperature (°C),Wind Speed (km/h),Pressure (hPa),Year,Month,DayOfYear,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos
17.879265652071386,24.042633197260123,6.371582931670381,1012.9162269987518,2017,1,16,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486
25.07162329177787,30.8282373031969,12.09152422625014,1015.7787048269034,2015,9,253,-1.0,-1.8369701987210297e-16,-0.9368813462954315,-0.34964745525122826
22.624027095718404,27.724189684013595,2.0492925315150154,1014.2193199265496,2012,10,305,-0.8660254037844386,0.5000000000000001,-0.858763958275803,0.5123714121284235
18.35999267390873,26.997372805328748,5.263136375999627,1018.7814687061906,2020,2,56,0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871
28.970619567000924,37.8754115417407,14.021730254548334,1013.9079716865024,2012,7,202,-0.4999999999999997,-0.8660254037844388,-0.3294084822245302,-0.9441875088341994
21.68095327216041,28.865362743342683,5.052425034090456,1009.0866122649842,2023,9,256,-1.0,-1.8369701987210297e-16,-0.9536809966304455,-0.300819807635668
21.916846386398795,31.13142259364014,3.5458642725338416,1007.3957391378884,2018,10,274,-0.8660254037844386,0.5000000000000001,-0.9999907397361901,0.004303538296243821
22.62120722576279,29.58973637113571,10.502176724964336,1008.5765081011108,2011,9,269,-1.0,-1.8369701987210297e-16,-0.99665890175417,-0.08167639533042288
32.83503291073591,38.62238136477495,13.676875532890332,1012.427531857637,2023,3,71,1.0,6.123233995736766e-17,0.9398560579418954,0.3415707691678556
35.07483063313727,42.08476072608519,14.026910926682596,1011.868067364602,2011,5,134,0.49999999999999994,-0.8660254037844387,0.7412220108485958,-0.6712599575675313
24.47308219084416,30.37021615198831,14.33055091396788,1013.748540658038,2024,8,241,-0.8660254037844385,-0.5000000000000004,-0.8452490573530634,-0.5343725582809785
13.7306568215261,19.323157888555663,8.090725280320946,1018.9112604583404,2011,2,51,0.8660254037844386,0.5000000000000001,0.7694148268839378,0.6387494220515272
13.23806848286545,20.677920498025998,9.552402331021865,1019.320668419038,2016,2,42,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686
22.724007656171363,28.96928604896664,2.564756801454811,1009.708976028711,2017,7,209,-0.4999999999999997,-0.8660254037844388,-0.4405187843504952,-0.8977433935342336
14.128900872637232,22.59271053538949,7.483844858084072,1007.5513329045604,2022,1,16,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486
23.787552699371386,29.588740191601417,11.645606120726528,1005.358422814657,2021,9,258,-1.0,-1.8369701987210297e-16,-0.9634705485641486,-0.26781430516217486
18.565435557443934,25.70173188699533,9.885219064554043,1013.2879450034984,2012,1,28,0.49999999999999994,0.8660254037844387,0.4635502709028509,0.886070621534138
23.65636339145446,28.968048974195572,6.754725611963254,1011.7105259522576,2022,10,278,-0.8660254037844386,0.5000000000000001,-0.9973249731081555,0.07309512989807776
20.073150221834663,27.835913755367542,2.510358050981943,1018.0874788960836,2012,11,312,-0.5000000000000004,0.8660254037844384,-0.7909456567567774,0.6118864012687242
20.83051417292078,27.459247287037627,12.224947459568243,1006.6968265101316,2021,12,341,-2.4492935982947064e-16,1.0,-0.4014879892059737,0.9158642882672868
12.062020568245435,19.97444557795478,2.1836787929137893,1007.5353242487752,2023,12,358,-2.4492935982947064e-16,1.0,-0.12020804489935275,0.9927487224577402
19.49040867809447,27.461884694111824,5.2689193039222495,1019.5671938466216,2017,2,59,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722
34.50015018438987,41.04911236694688,5.333058891863663,1015.463318606778,2023,4,92,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882
28.42459534665299,35.79768491098782,9.841436408482242,1005.038628156823,2011,8,232,-0.8660254037844385,-0.5000000000000004,-0.7526668275320083,-0.6584015846980489
15.54906718023262,21.62048707198024,5.142517336283335,1006.8476515864128,2019,2,36,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178
10.94536262329877,18.91322291637951,4.4438720068013575,1017.6422276671848,2015,1,7,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402
32.34483197927235,38.45063394401374,3.0075989020575715,1018.263370935974,2020,9,265,-1.0,-1.8369701987210297e-16,-0.9886775902323404,-0.15005539834465262
25.428242982786823,31.14670047632796,4.223134498733423,1006.9177025700368,2011,10,288,-0.8660254037844386,0.5000000000000001,-0.970063921851507,0.2428497220959358
17.349978441797262,24.16012085309077,12.260521163713452,1011.884632895621,2014,12,360,-2.4492935982947064e-16,1.0,-0.0859647987374467,0.9962981749346077
30.902929023009783,39.481763798222616,5.988224048582802,1009.1235824135646,2016,5,143,0.49999999999999994,-0.8660254037844387,0.6287628145958344,-0.7775971469736269
25.144401172925583,30.646257957127247,8.144432431472861,1019.7355607549378,2016,9,266,-1.0,-1.8369701987210297e-16,-0.9911140639934546,-0.13301470653419636
28.95805923669911,36.98118519721226,4.678682989826446,1016.4222198620388,2021,9,252,-1.0,-1.8369701987210297e-16,-0.9307239310379793,-0.3657225234972692
31.38640895881156,38.39212808425562,2.453504485436002,1013.7010157957872,2013,7,186,-0.4999999999999997,-0.8660254037844388,-0.060213277365792774,-0.9981855344718586
28.107828900897257,36.067171557233706,11.211630337830508,1017.3574507406372,2014,3,72,1.0,6.123233995736766e-17,0.9455963874271426,0.3253420847119801
